Iterations,TotalGames,P1Wins,P2Wins,Draws,WinRateP1,WinRateP2,AvgGameLength,TimeMillis
100,1000,441,399,160,44.10,39.90,40.00,1379
200,1000,400,429,171,40.00,42.90,40.00,2227
400,1000,413,420,167,41.30,42.00,40.00,4336
800,1000,437,407,156,43.70,40.70,40.00,13370
1600,1000,436,414,150,43.60,41.40,40.00,25497
3200,1000,445,393,162,44.50,39.30,40.00,42584
6400,1000,440,397,163,44.00,39.70,40.00,74333
12800,1000,413,423,164,41.30,42.30,40.00,133732
25600,1000,416,417,167,41.60,41.70,40.00,261809
51200,1000,429,398,173,42.90,39.80,40.00,523168